address,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip,ACS Economics/Median household income/Total/Value,ACS Economics/Median household income/Total/Margin of error,ACS Demographics/Median age/Total/Value,ACS Demographics/Median age/Total/Margin of error,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage
"1601 Atlas Road,Richmond,Contra Costa County",37.996643,-122.341595,0.9,rooftop,San Pablo,CA,Contra Costa County,94806.0,64097.0,20363.0,37.3,8.7,0.155,0.823,0.0,0.023,0.0
"1316 CANAL BLVD, (Lat 37.916667, Long -122.400000),Richmond,Contra Costa County",37.907843,-122.369544,0.9,nearest_rooftop_match,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"849 Chevron Way,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"901 Nevin Ave,Richmond,Contra Costa County",37.937381,-122.360975,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,0.0,0.0,25.7,10.0,0.028,0.474,0.0,0.417,0.0
"BRICKYARD COVE,Richmond,Contra Costa County",37.910857,-122.383895,0.95,street_center,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"5759 Ravine Way,Richmond,Contra Costa County",37.944966,-122.318989,1.0,rooftop,Richmond,CA,Contra Costa County,94805.0,154306.0,39107.0,39.2,3.7,0.542,0.105,0.008,0.215,0.0
"2755 Isabel Street,Richmond,Contra Costa County",37.897055,-122.32188,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,105945.0,10039.0,43.9,10.4,0.501,0.164,0.0,0.31,0.0
"5215 Central Ave.,Richmond,Contra Costa County",37.900883,-122.313417,0.9,rooftop,Richmond,CA,Contra Costa County,94804.0,81364.0,52019.0,38.1,4.0,0.342,0.342,0.0,0.187,0.0
"Cutting Blvd and Marina Way,Richmond,Contra Costa County",37.925204,-122.355873,0.2,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Marin Bay Pkwy at Meeker Ave,Richmond,Contra Costa County",37.920425,-122.347192,0.95,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"D Dock, Slip D-081, 2600 Spinnaker Way,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"1319 Canal Blvd, Richmond Graving Dock 4,Richmond,Contra Costa County",37.907843,-122.369544,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"612 Johnson Drive,Richmond,Contra Costa County",37.983922,-122.355123,0.9,rooftop,San Pablo,CA,Contra Costa County,94806.0,64097.0,20363.0,37.3,8.7,0.155,0.823,0.0,0.023,0.0
"MP 1191.4, Richmond Yard Sub,Richmond,Contra Costa County",38.033658,-122.261239,1.0,range_interpolation,Rodeo,CA,Contra Costa County,94572.0,82039.0,32935.0,49.3,10.2,0.681,0.123,0.0,0.146,0.0
"1078 View Drive,Richmond,Contra Costa County",37.978902,-122.310048,0.9,rooftop,El Sobrante,CA,Contra Costa County,94803.0,88818.0,22868.0,48.4,4.4,0.141,0.386,0.0,0.443,0.0
"2995 Atlas Rd,Richmond,Contra Costa County",38.000552,-122.34852,0.9,rooftop,San Pablo,CA,Contra Costa County,94806.0,64097.0,20363.0,37.3,8.7,0.155,0.823,0.0,0.023,0.0
"MP 13.32 Martinez Sub,Richmond,Contra Costa County",37.946109,-122.336145,0.7,street_center,Richmond,CA,Contra Costa County,94804.0,88063.0,32274.0,42.0,8.5,0.448,0.073,0.0,0.458,0.0
"1300 Roosevelt Ave ,Richmond,Contra Costa County",37.939804,-122.357119,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,105795.0,59558.0,28.8,5.7,0.013,0.422,0.0,0.527,0.0
"MP 1186.1, Stockton Sub.,Richmond,Contra Costa County",38.049674,-122.224843,0.85,nearest_rooftop_match,Crockett,CA,Contra Costa County,94525.0,90655.0,28783.0,41.9,9.9,0.749,0.15,0.0,0.048,0.0
"37 55 03.81N  122 21 49.34W, North Star Marina Berth 22, Parr Canal,Richmond,Contra Costa County",37.919479,-121.951543,0.4,county,,CA,Contra Costa County,,,,,,,,,,
"6207 Huntington Ave ,Richmond,Contra Costa County",37.908449,-122.307531,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,86078.0,20727.0,39.5,12.5,0.695,0.03,0.0,0.15,0.0
"980 Hensley St,Richmond,Contra Costa County",37.94552,-122.366808,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Westbound 80 at Carson Blvd,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"861 Wharf St,,Richmond,Contra Costa County",37.919078,-122.37452,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"777 Mesa Way,Richmond,Contra Costa County",37.941728,-122.332566,1.0,rooftop,Richmond,CA,Contra Costa County,94805.0,86451.0,39485.0,49.6,14.6,0.621,0.329,0.0,0.013,0.0
"402 Wright Ave,Richmond,Contra Costa County",37.9296,-121.925911,0.86,rooftop,Clayton,CA,Contra Costa County,94517.0,175701.0,91681.0,47.6,15.7,0.982,0.0,0.0,0.0,0.0
"Radiant Ave & Parr Blvd // MP: 14.22 Martinez Subdivision,Richmond,Contra Costa County",37.931386,-122.346775,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,57803.0,13467.0,29.8,2.0,0.083,0.628,0.061,0.127,0.0
"South 4th Street & Cutting Boulevard,Richmond,Contra Costa County",37.925248,-122.365988,0.99,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"LAT: 37.9206852 LONG -122.3626944,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Gaynor Ave ( and throughout the neighborhood) ,Richmond,Contra Costa County",37.944396,-122.349093,1.0,street_center,Richmond,CA,Contra Costa County,94801.0,96250.0,24400.0,32.5,2.5,0.113,0.296,0.046,0.095,0.0
"Eastbound 580 just west of the toll plaza,Richmond,Contra Costa County",37.732674,-122.237103,0.7,street_center,Alameda,CA,Alameda County,94502.0,199962.0,31010.0,37.6,5.1,0.384,0.067,0.0,0.462,0.023
"MP: 14.6 / SUB: MARTINEZ,Richmond,Contra Costa County",37.931508,-122.3636,0.9,nearest_rooftop_match,Richmond,CA,Contra Costa County,94801.0,56053.0,35670.0,35.2,15.5,0.166,0.343,0.118,0.31,0.0
"INTERSECTION OF 37TH AND NIVEN,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"901 West Cutting Blvd,Richmond,Contra Costa County",37.92567,-122.378645,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"820 38th Street,Richmond,Contra Costa County",37.944065,-122.330756,0.9,rooftop,Richmond,CA,Contra Costa County,94805.0,84103.0,12054.0,44.3,16.5,0.255,0.205,0.0,0.432,0.0
"SLIP 211; DOCK F; MARINA BAY YACHT HARBOR,Richmond,Contra Costa County",37.919479,-121.951543,0.4,county,,CA,Contra Costa County,,,,,,,,,,
"501 Duboce Ave ,Richmond,Contra Costa County",37.952884,-122.365025,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,54474.0,9422.0,29.1,8.4,0.042,0.705,0.0,0.253,0.0
"RICHMOND LONG WHARF,Richmond,Contra Costa County",37.912211,-122.303675,0.9,street_center,El Cerrito,CA,Contra Costa County,94530.0,122750.0,31172.0,38.4,1.3,0.644,0.015,0.005,0.29,0.0
"Latitude: 38° 01' 48"" N Longitude: 122° 17' 24"" W,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"WB I 80 @ Hilltop exit,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Martinez Sub, MP 13.4,Richmond,Contra Costa County",38.033414,-122.264963,0.7,street_center,Rodeo,CA,Contra Costa County,94572.0,48902.0,26960.0,30.7,9.0,0.277,0.36,0.0,0.169,0.0
"303 S. Garrard Blvd. ,Richmond,Contra Costa County",37.933892,-122.377516,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"488 Wright Ave ,Richmond,Contra Costa County",37.920165,-122.364452,0.9,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"156 E SCENIC AVE ,Richmond,Contra Costa County",37.922211,-122.383384,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"601 CANAL BLVD,Richmond,Contra Costa County",37.919772,-122.379063,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"2400 Florida Ave ,Richmond,Contra Costa County",37.929393,-122.346806,0.9,rooftop,Richmond,CA,Contra Costa County,94804.0,59840.0,16148.0,24.6,6.5,0.064,0.456,0.0,0.272,0.0
"1045 Hensley St,Richmond,Contra Costa County",37.947337,-122.366128,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"3411 Blume Dr,Richmond,Contra Costa County",37.986722,-122.317866,1.0,rooftop,San Pablo,CA,Contra Costa County,94806.0,0.0,0.0,28.6,3.6,0.267,0.166,0.0,0.447,0.0
"841 Richmond Way,Richmond,Contra Costa County",37.910253,-122.302397,1.0,range_interpolation,El Cerrito,CA,Contra Costa County,94530.0,122750.0,31172.0,38.4,1.3,0.644,0.015,0.005,0.29,0.0
"MP 10.8, Martinez Sub, Area of Cutting Blvd at Spring St,Richmond,Contra Costa County",37.931479,-122.361695,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,32917.0,20655.0,53.3,16.4,0.059,0.727,0.0,0.14,0.0
"MP 14.22, Martinez Sub,Richmond,Contra Costa County",37.931386,-122.346775,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,57803.0,13467.0,29.8,2.0,0.083,0.628,0.061,0.127,0.0
"Mile Post 1186.6,Richmond,Contra Costa County",38.02938,-122.267089,0.7,street_center,Rodeo,CA,Contra Costa County,94572.0,82375.0,40723.0,33.6,4.3,0.27,0.238,0.0,0.365,0.11
"1315 Monterey St. Behind this address along Baxter Creek,Richmond,Contra Costa County",37.913261,-122.323092,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,81364.0,52019.0,38.1,4.0,0.342,0.342,0.0,0.187,0.0
"MP 11.7 of the Martinez Sub,Richmond,Contra Costa County",38.028134,-122.26587,1.0,range_interpolation,Rodeo,CA,Contra Costa County,94572.0,82375.0,40723.0,33.6,4.3,0.27,0.238,0.0,0.365,0.11
"Milepost marker #1189 of the Stockton Subdivision (Richmond Yard),Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"3754.564 N / 12222.797 W /// Latitude: 37° 54' 34"" N Longitude: 122° 22' 48"" W,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"North Side of the Richmond Bridge,Richmond,Contra Costa County",38.021071,-121.358521,0.6,street_center,Stockton,CA,San Joaquin County,95219.0,75848.0,27669.0,40.6,19.7,0.423,0.199,0.0,0.226,0.0
"100 CUTTING BLVD,Richmond,Contra Costa County",37.922339,-122.369192,0.95,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"Richmond Refinery, Chevron: 841 Chevron Way,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Along the slough behind Pelican Way, Richmond Harbor Channel,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Latitude: 37° 53' 24"" N //  Longitude: 122° 23' 57"" W,Richmond,Contra Costa County",37.920621,-122.319972,0.6,street_center,El Cerrito,CA,Contra Costa County,94530.0,78224.0,27563.0,32.5,3.8,0.193,0.075,0.02,0.697,0.0
"1308 Pelican Way,Richmond,Contra Costa County",37.911037,-122.380725,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"900 Dornan Dr,Richmond,Contra Costa County",37.914924,-122.383193,0.81,nearest_rooftop_match,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"100 Chevron Way ,Richmond,Contra Costa County",37.929548,-122.386144,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Seen from pedestrian trail near San Rafael Bridge,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Sub: Martinez, MP: 11.9,Richmond,Contra Costa County",37.931577,-122.361051,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,32917.0,20655.0,53.3,16.4,0.059,0.727,0.0,0.14,0.0
"3140 Overlook Way (open field area near Hilltop Mall Road),Richmond,Contra Costa County",37.983929,-122.32841,1.0,range_interpolation,San Pablo,CA,Contra Costa County,94806.0,68108.0,18288.0,29.2,1.6,0.301,0.307,0.0,0.07,0.046
"MPM 14.96 of the Martineze Sub, Lat 37.9783501 Long -122.3579725,Richmond,Contra Costa County",37.74793,-122.166638,0.7,street_center,Oakland,CA,Alameda County,94603.0,58750.0,44253.0,32.8,9.1,0.114,0.795,0.0,0.034,0.0
"Lat/Long 37.903972, -122.319802,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"6035 Giant Rd,Richmond,Contra Costa County",37.999391,-122.343759,1.0,rooftop,San Pablo,CA,Contra Costa County,94806.0,64097.0,20363.0,37.3,8.7,0.155,0.823,0.0,0.023,0.0
"Seaport Ave and Carlson Blvd on the Bayview Overpass ,Richmond,Contra Costa County",37.916163,-122.326329,0.76,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"2505 Columbia Ave,Richmond,Contra Costa County",37.903052,-122.315464,0.86,rooftop,Richmond,CA,Contra Costa County,94804.0,81364.0,52019.0,38.1,4.0,0.342,0.342,0.0,0.187,0.0
"Lettia Rd at Michele Dr Milemarker 17.5 Martinez Sub,Richmond,Contra Costa County",37.738085,-121.934065,0.7,rooftop,San Ramon,CA,Contra Costa County,94583.0,216550.0,36570.0,48.1,5.2,0.727,0.0,0.0,0.216,0.0
"Milepost marker 11.4 of the Martinez Subdivision,Richmond,Contra Costa County",37.931644,-122.365959,0.9,rooftop,Richmond,CA,Contra Costa County,94801.0,56053.0,35670.0,35.2,15.5,0.166,0.343,0.118,0.31,0.0
"1 Parr Blvd,Richmond,Contra Costa County",37.962334,-122.39602,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,55625.0,23524.0,29.3,3.9,0.381,0.398,0.0,0.088,0.0
"1306 Canal Blvd,Richmond,Contra Costa County",37.912224,-122.365991,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"Corner of Carlson Blvd. X Imperial Ave,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Cutting Blvd. Crossing,Richmond,Contra Costa County",37.92507,-122.337523,0.9,street_center,Richmond,CA,Contra Costa County,94804.0,46279.0,15606.0,31.8,3.9,0.271,0.61,0.0,0.032,0.0
"1145 HARBOR WAY SOUTH,Richmond,Contra Costa County",37.91889,-122.361027,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"MP 11.4 of the Martinez Sub,Richmond,Contra Costa County",37.931644,-122.365959,0.9,rooftop,Richmond,CA,Contra Costa County,94801.0,56053.0,35670.0,35.2,15.5,0.166,0.343,0.118,0.31,0.0
"Sub: Martinez, MP: 14.1,Richmond,Contra Costa County",37.969059,-121.666358,0.9,nearest_rooftop_match,Knightsen,CA,Contra Costa County,94548.0,54177.0,50349.0,32.2,9.1,0.496,0.504,0.0,0.0,0.0
"MP #14.07; Martinez subdivision ,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Milepost marker 1189 of the Stockton Subdivision (Richmond Railyard),Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"1100 South 27th St,Richmond,Contra Costa County",37.917449,-122.343911,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,142134.0,27685.0,49.3,12.4,0.324,0.358,0.01,0.214,0.0
"2601 Hill Top Dr. Unit 332,Richmond,Contra Costa County",37.987669,-122.336907,0.9,rooftop,San Pablo,CA,Contra Costa County,94806.0,129261.0,24205.0,33.9,17.0,0.202,0.663,0.0,0.06,0.0
"POINT SAN PABLO YACHT HARBOR/ 1900 WESTERN DRIVE,Richmond,Contra Costa County",37.960711,-122.418807,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"SAN FRANSISCO ANCHORAGE 5; LAT: 37.54 N 122.25 W,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"SANTA FE CHANNEL / SUGAR DOCKS,Richmond,Contra Costa County",38.012424,-122.287647,1.0,street_center,Hercules,CA,Contra Costa County,94547.0,118750.0,39351.0,41.7,3.3,0.193,0.255,0.0,0.472,0.0
"841 CHEVRON WAY,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"488 Wright Avenue,Richmond,Contra Costa County",37.920165,-122.364452,0.9,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"Chevron Terminal #3,Richmond,Contra Costa County",37.924944,-122.384465,0.9,range_interpolation,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"Park Central and Parkside Dr,Richmond,Contra Costa County",37.97634,-122.313722,0.92,intersection,El Sobrante,CA,Contra Costa County,94803.0,,,,,,,,,
"322 44th St.,Richmond,Contra Costa County",37.933643,-122.327919,1.0,range_interpolation,Richmond,CA,Contra Costa County,94805.0,110515.0,33645.0,35.2,9.8,0.269,0.18,0.0,0.526,0.0
"1890 Parkside Drive,Richmond,Contra Costa County",37.97971,-122.024158,1.0,range_interpolation,Concord,CA,Contra Costa County,94519.0,98875.0,86747.0,31.7,3.6,0.547,0.0,0.0,0.132,0.0
"LAT / 37.918981 LON / -122.348085,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Parr Railroad Crossing Milepost 14.22 in the Martinez Sub,Richmond,Contra Costa County",37.931386,-122.346775,0.4,range_interpolation,Richmond,CA,Contra Costa County,94801.0,57803.0,13467.0,29.8,2.0,0.083,0.628,0.061,0.127,0.0
"MARINA BAY YACHT HARBOR; DOCK E,Richmond,Contra Costa County",37.922602,-122.34771,1.0,street_center,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"CUTTING BLVD / MP 10.8,Richmond,Contra Costa County",37.931479,-122.361695,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,32917.0,20655.0,53.3,16.4,0.059,0.727,0.0,0.14,0.0
"Subdivision: Martinez, MP: 10.75,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"841 CEVRON WAY,Richmond,Contra Costa County",37.706516,-122.095197,0.7,street_center,Castro Valley,CA,Alameda County,94546.0,137411.0,25792.0,49.5,3.9,0.439,0.035,0.006,0.487,0.0
"NORTH OF THE WEST SPAN OF RICHMOND BRIDGE,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"4209 Jenkins Way,Richmond,Contra Costa County",37.985935,-122.356827,1.0,rooftop,San Pablo,CA,Contra Costa County,94806.0,64097.0,20363.0,37.3,8.7,0.155,0.823,0.0,0.023,0.0
"841 Chevron Wy, Site # A0010,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"841 Chevron,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"841 Chevron Wy,Richmond,Contra Costa County",37.92948,-122.386683,0.1,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"1411 Harbour Way South,Richmond,Contra Costa County",37.913363,-122.361605,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"RICHMOND PKWY WESTBOUND AT I80,Richmond,Contra Costa County",37.983026,-122.316052,0.57,intersection,Pinole,CA,Contra Costa County,94564.0,,,,,,,,,
"POINT RICHMOND NEAR DOCK FOR OIL TANKERS,Richmond,Contra Costa County",37.90854,-121.60023,0.5,place,Discovery Bay,CA,Contra Costa County,94505.0,,,,,,,,,
"MP 14.22 DOT/ 751694D,Richmond,Contra Costa County",37.931386,-122.346775,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,57803.0,13467.0,29.8,2.0,0.083,0.628,0.061,0.127,0.0
"303 Garrard Blvd,Richmond,Contra Costa County",37.936462,-122.372425,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"RICHMOND MARINA BAY YACHT HARBOR,Richmond,Contra Costa County",37.912211,-122.303675,0.3,street_center,El Cerrito,CA,Contra Costa County,94530.0,122750.0,31172.0,38.4,1.3,0.644,0.015,0.005,0.29,0.0
"Port of Richmond, Berth 20,Richmond,Contra Costa County",37.925297,-122.38445,0.9,range_interpolation,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"1700 Nevin Plaza, MP 12, Martinez Sub, Richmond Amtrak Station,Richmond,Contra Costa County",37.937132,-122.354203,0.07,nearest_rooftop_match,Richmond,CA,Contra Costa County,94801.0,105795.0,59558.0,28.8,5.7,0.013,0.422,0.0,0.527,0.0
"Levin Richmond Terminal, Richmond 20,Richmond,Contra Costa County",37.565285,-121.982721,0.5,place,Fremont,CA,Alameda County,94536.0,,,,,,,,,
"Milepost marker #12,Richmond,Contra Costa County",37.925279,-122.384432,0.9,range_interpolation,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"2301 Columbia Blvd,Richmond,Contra Costa County",37.904248,-122.316092,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,81364.0,52019.0,38.1,4.0,0.342,0.342,0.0,0.187,0.0
"281 Chevron Way,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Latitude: 37° 54' 19"" N // Longitude: 122° 23' 32"" W,Richmond,Contra Costa County",37.915393,-122.318402,0.6,street_center,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"Richmond Terminal #22, 488 Wright Ave,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"1601Atlis Road,Richmond,Contra Costa County",37.996643,-122.341595,0.9,rooftop,San Pablo,CA,Contra Costa County,94806.0,64097.0,20363.0,37.3,8.7,0.155,0.823,0.0,0.023,0.0
"Milepost: 12.4 at Martinez Sub.,Richmond,Contra Costa County",38.033414,-122.264963,0.7,street_center,Rodeo,CA,Contra Costa County,94572.0,48902.0,26960.0,30.7,9.0,0.277,0.36,0.0,0.169,0.0
"Point Richmond,Richmond,Contra Costa County",37.90854,-121.60023,0.5,place,Discovery Bay,CA,Contra Costa County,94505.0,,,,,,,,,
"838 29th St,Richmond,Contra Costa County",37.819553,-122.27462,0.9,rooftop,Emeryville,CA,Alameda County,94608.0,87824.0,7370.0,30.8,3.9,0.308,0.31,0.0,0.236,0.004
"2830 Garvin Ave,Richmond,Contra Costa County",37.943444,-122.340165,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,67218.0,39298.0,35.7,8.9,0.64,0.019,0.0,0.281,0.0
"Richmond Parkway / San Pablo Avenue,Richmond,Contra Costa County",37.991132,-122.332457,0.97,intersection,San Pablo,CA,Contra Costa County,94806.0,,,,,,,,,
"Lakeside Dr and Richmond Pkwy,Richmond,Contra Costa County",37.989972,-122.328664,1.0,intersection,San Pablo,CA,Contra Costa County,94806.0,,,,,,,,,
"23rd street and cutting Boulevard,Richmond,Contra Costa County",37.925193,-122.347665,0.8,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"1211 Wright Avenue,Richmond,Contra Costa County",37.921543,-122.357759,0.9,rooftop,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"Interstate 580 & Canal Boulevard,Richmond,Contra Costa County",37.927659,-122.37836,0.96,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"2377 Tract Road,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"West Chanslor Ave & Curry Ave,Richmond,Contra Costa County",37.932848,-122.373854,0.8,intersection,Richmond,CA,Contra Costa County,94801.0,,,,,,,,,
"1900 Meeker Avenue,Richmond,Contra Costa County",37.919435,-122.350676,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"36th St & Wall Ave,Richmond,Contra Costa County",37.928022,-122.335205,0.8,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Cutting Blvd & Marina Way South,Richmond,Contra Costa County",37.925204,-122.355873,0.4,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"A Street & Ripley Avenue,Richmond,Contra Costa County",37.938421,-122.36942,0.9,intersection,Richmond,CA,Contra Costa County,94801.0,,,,,,,,,
"Marina Bay Parkway & Pierson Avenue,Richmond,Contra Costa County",37.918171,-122.344852,0.93,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
